Codigo;Nombre;Info;Duracion
1126;Temple of Emotions - The Maracanã Stadium in Rio de Janeir;Gerhard Schick;89
756;Le Dernier des injustes;Claude Lanzmann;218
958;Peeping Toms;Uri Zohar;90
784;Loca bohemia. Cinco días con Adrián Iaies;Rafael Filippelli;90
621;Ice Poison;Midi Z;95
1315;Wolf Children;Mamoru Hosoda;117
896;O arquipélago;Gustavo Beck;28
1158;The Image Revolution;Patrick Meaney;82
672;Journey to the West;Tsai Ming Liang;56
134;Atlas;Antoine d'Agata;86
641;I'm an Old Communist Hag;Stere Gulea;110
644;Ingrown Nail;Amir Rothschild-Neria;28
904;O homem das multidões;Cao Guimarães, Marcelo Gomes;95
251;Coherence;James Ward Byrkit;88
648;iNumber Number;Donovan Marsh;99
359;Costa da Morte;Lois Patiño;84
995;Red Hollywood;Thom Andersen, Noël Burch;114
781;Living Stars;Gastón Duprat, Mariano Cohn;73
763;Les Petits Princes;Vianney Lebasque;90
442;El crack;José Martínez Suárez;81
613;Hoop Dreams;Steve James;183
343;Cortos - UPA 2: Jolly Frolics;Varios directores;42
1098;Stella cadente;Lluís Miñarro;105
4;3X3D;Edgar Pêra, Peter Greenaway, Jean-Luc Godard;62
378;Dead Man's Shoes;Shane Meadows;90
961;Pichuco;Martín Turnes;82
315;Cortos - Muestra 2;Varios directores;93
1061;Shield of Straw;Takashi Miike;125
1146;The Armstrong Lie;Alex Gibney;124
738;La Salada;Juan Martín Hsu;91
586;Good Ol' Freda;Ryan White;86
1065;Shivers;David Cronenberg;87
394;Distinto amanecer;Julio Bracho;108
150;Basket Case 2;Frank Henenlotter;90
66;Afternoon Delight;Jill Soloway;99
553;Four Lions;Chris Morris;97
476;El rey del rocanrol (La leyenda de Pajarito Zaguri;Néstor Alejandro Rodríguez Correa;81
834;Mary Is Happy, Mary Is Happy;Nawapol Thamrongrattanarit;125
660;Jay & Silent Bob's Super Groovy Cartoon Movie!;Steve Stark;95
538;Fantasmas de la ruta;José Celestino Campusano;206
986;Quisiera ser grande;Penny Marshall;104
924;Of Snails and Men;Tudor Giurgiu;92
507;Elvira Lorelay Alma de Dragón;Cao Guimarães, Florencia Martínez;61
1225;This Is England;Shane Meadows;101
610;Holy Field Holy War;Lech Kowalski;105
1114;Tante Hilda!;Jacques-Rémy Girerd, Benoît Chieux;89
1080;Something Must Break;Ester Martin Bergsmark;81
951;Paris 1919;Paul Cowan;90
295;Cortos ;Jørgen Leth;0
336;Cortos ;Robert Fenz;0
1318;Wrong Cops;Quentin Dupieux;78
1028;Rush: Pasión y gloria;Ron Howard;123
955;Paula contra la mitad más uno;Néstor Paternostro;83
70;Aimer, boire et chanter;Alain Resnais;108
745;La tropa de trapo en el país donde siempre brilla el sol;Alex Colls;76
229;Cheatin';Bill Plympton;76
872;Mujeres con pelotas;Ginger Gentile, Gabriel Balanovsky;65
390;Dialogue d'ombres;Jean-Marie Straub, Danièle Huillet;28
633;Ilo ilo;Anthony Chen;99
664;Jerusalemites Can't Swim;Rotem Lehmann;50
795;Los colonos del Caudillo;Dietmar Post, Lucía Palacios;118
1217;The Unknown Known;Errol Morris;102
912;O mestre e o Divino;Tiago Campos;85
1279;Upstream Color;Shane Carruth;96
574;Gare du Nord;Claire Simon;119
721;La gran ilusión;Jean Renoir;114
255;Coming to Terms;Jon Jost;89
33;A colecção invisível;Rita Azevedo Gomes;48
684;Kill List;Ben Wheatley;95
21;20,000 Days on Earth;Iain Forsyth, Jane Pollard;95
1244;Traders;Jean-Stéphane Bron;52
570;G/R/E/A/S/E;Antoni Pinent;0
196;Bunny and the Bull;Paul King;101
1195;The Second Game;Corneliu Porumboiu;97
975;Pororo: The Racing Adventure;Park Young-kyun;77
333;Cortos ;Robert Fenz;0
860;Minúsculos;Hélène Giraud, Thomas Szabo;89
274;Cortos - CalArts 2;Varios directores;81
1275;Una canción coreana;Gustavo Tarrío, Yael Tujsnaider;78
982;Que ta joie demeure;Denis Côté;70
55;A Sunday in Hell;Jørgen Leth;111
107;Anuncian sismos;Rocío Caliri, Melina Marcow;68
59;A vingança de uma mulher;Rita Azevedo Gomes;100
625;Ida;Pawel Pawlikowski;80
728;La isla;Dominga Sotomayor, Katarzyna Klimkiewicz;30
217;Carta a un padre;Edgardo Cozarinsky;65
699;La Bonne Conduite (Cinq histoires d'auto-école);Jean-Stéphane Bron;60
514;Entre Ríos - todo lo que no dijimos -;Nelson Schmunk;84
1214;The True Story of Palestine;Uri Zohar, Nathan Axelrod, Joel Silberg;80
908;O menino e o mundo;Alê Abreu;80
774;L'Expérience Blocher;Jean-Stéphane Bron;100
819;Maknum Gonzalez;George von Knorring;75
1018;Retrato de Jorge Lavelli;Rafael Filippelli;60
1091;Soy Ringo;José Luis Nacci;100
453;El escarabajo de oro;Alejo Moguillansky, Fia-Stina Sandlund;100
139;Aurora notte;Giulia Caruso;80
327;Cortos ;Robert Fenz;0
1154;The Family;Stefan Weinert;96
386;Depois da chuva;Cláudio Marques, Marília Hughes;95
51;A Story of Children and Film;Mark Cousins;101
445;El cuarto desnudo;Nuria Ibáñez;70
1192;The Sea;Stephen Brown;90
939;Orensanz;Rocío Mesa;85
1142;The Airstrip;Heinz Emigholz;108
225;Castanha;Davi Pretto;95
695;La ballena va llena;Daniel Santoro, Juan Carlos Capurro, Pedro Roth, Tata Cedrón,Marcelo Céspedes;80
1046;Sarah préfère la course;Chloé Robichaud;96
1303;Weekend of a Champion;Frank Simon;93
742;La serpiente de cascabel;Carlos Schlieper;73
1311;Why Don't You Play in Hell?;Sion Sono;119
162;Belva nera;Alessio Rigo de Righi, Matteo Zoppis;35
311;Cortos - Muestra 1;Varios directores;97
1095;Stars and Watercarriers;Jørgen Leth;93
1170;The Punk Singer - A Film about Kathleen Hanna;Sini Anderson;83
766;Les Rencontres d'après minuit;Yann Gonzalez;98
1203;The Sound of Belgium;Jozef Devillé;85
1050;Seduced and Abandoned;James Toback;100
158;Before the Revolution;Dan Shadur;60
180;Blue Ruin;Jeremy Saulnier;92
307;Cortos - Michaela Grill 2;Michaela Grill, Martin Siewert, Billy Roisz;0
920;Of Horses and Men;Benedikt Erlingsson;85
473;El retrato;Carlos Schlieper;75
578;Gente en sitios;Juan Cavestany;81
815;Mais im Bundeshuus - Le Génie helvétique;Jean-Stéphane Bron;90
188;Brain Damage;Frank Henenlotter;86
1221;The Wait;M. Blash;96
200;Burroughs: The Movie;Howard Brookner;90
880;Necrofobia en 3D;Daniel de la Vega;78
545;Fernando que ganhou um pássaro do mar;Felipe Bragança, Helvécio Marins Jr.;20
1178;The Referee;Mattias Löw;29
1035;Salvo;Fabio Grassadonia, Antonio Piazza;103
1307;Who Took Johnny;David Beilinson, Suki Hawley, Michael Galinsky;80
598;Head Games: The Global Concussion Crisis;Steve James;75
680;Jules y Jim;François Truffaut;105
402;Do You Believe in Love?;Dan Wasserman;50
900;O corpo de Afonso;João Pedro Rodrigues;30
146;Basket Case;Frank Henenlotter;91
1259;Triana pura y pura;Ricardo Pachón;72
319;Cortos - Muestra 3;Varios directores;107
430;El color que cayó del cielo;Sergio Wolf;76
590;Grand Central;Rebecca Zlotowski;94
283;Cortos - Competencia 1;Varios directores;105
130;Atlántida;Inés María Barrionuevo;88
102;Anagramas;Santiago Giralt;83
617;How to Disappear Completely;Raya Martin;96
838;Match en el infierno;Zoltán Fábri;122
668;Jewels;Sandro Aguilar;14
1006;Réimon;Rodrigo Moreno;72
461;El lugar del hijo;Manuel Nieto;121
849;Michael Laudrup - A Football Player;Jørgen Leth;74
263;Conexión Sur;Dolores Lagrange;105
15;13 puertas;David Rubio;70
968;Planta madre;Gianfranco Quattrini;86
330;Cortos ;Robert Fenz;0
947;Parabéns Manoel de Oliveira: Intromissões;Rita Azevedo Gomes;56
892;Norte, the End of History;Lav Diaz;250
259;Comment j'ai détesté les maths;Olivier Peyon;100
557;Frágil como o mundo;Rita Azevedo Gomes;90
1122;Tarr Béla, I Used to Be a Filmmaker;Jean-Marc Lamoure;85
299;Cortos - Los Documentos de Pittsburgh;Stan Brakhage;97
1021;Retrato de Juan José Saer;Rafael Filippelli;87
1229;Three Days and a Child;Uri Zohar;90
792;Los Angeles Red Squad: The Communist Situation in Californi;Travis Wilkerson;55
1138;That's Sexploitation!;Frank Henenlotter;136
811;Mahjong;João Pedro Rodrigues, João Rui Guerra da Mata;35
277;Cortos - CalArts 3;Alexandra Cuesta;42
166;Benched;Gill Weinstein;24
725;La gran noticia;Lionel Baier;85
1102;Stray Dogs;Tsai Ming Liang;138
713;La Fille du 14 juillet;Antonin Peretjatko;88
637;Ilusión;Daniel Castro;65
1267;Un château en Italie;Valeria Bruni Tedeschi;104
267;Connu de nos services;Jean-Stéphane Bron;64
1236;Tonight and the People;Neïl Beloufa;81
1014;ReMine, el último movimiento obrero;Marcos Martínez Merino;104
1207;The Stone Roses: Made of Stone;Shane Meadows;97
549;Fifi Howls from Happiness;Mitra Farahani;96
717;La France;Serge Bozon;102
126;Asier Y yo;Amaia Merino, Aitor Merino;93
1322;Yo nena, yo princesa - Experiencia trans de una niña de cinco años;MaríaAramburú, Valeria Pavan;46
748;La tropa de trapo en la selva del arcoiris;Alex Colls;75
169;Big Bad Wolves;Navot Papushado, Aharon Keshles;110
927;Oggy et les cafards;Olivier Jean-Marie;80
339;Cortos - UPA 1: Greatest Hits;Varios directores;57
499;El último verano;Leandro Naranjo;75
1299;We Come as Friends;Hubert Sauper;105
95;Altar;Rita Azevedo Gomes;75
90;All About Kineret;Tzlil Kahana;24
888;Night Moves;Kelly Reichardt;120
398;Dive: Approach and Exit;Sandro Aguilar;12
1106;Submarine;Richard Ayoade;97
406;Dominguinhos;Joaquim Castro, Eduardo Nazarian, Mariana Aydar;90
480;El rostro;Gustavo Fontán;62
602;Herschell Gordon Lewis: The Godfather of Gor;Frank Henenlotter, Jimmy Maslon;106
594;Han Gong-Ju;Lee Su-Jin;112
363;Creme 21;Eve Heller;10
826;Manakamana;Stephanie Spray, Pacho Velez;118
1185;The Rooster;Uri Zohar;100
184;Boxing Gym;Frederick Wiseman;91
271;Cortos - CalArts 1;Varios directores;80
1210;The Stuart Hall Project;John Akomfrah;98
799;Los Rockers, rebelde rock & roll;Matías Pinochet;89
347;Cortos - UPA 3: Jolly Frolics 2;Varios directores;51
1232;Tip Top;Serge Bozon;106
371;Cuatro corazones;Carlos Schlieper, Enrique Santos Discépolo;80
582;Géographie humaine;Claire Simon;101
1283;Uranes;Chema García Ibarra;60
221;Casa grande;Fellipe Barbosa;112
709;La del Chango;Milton Rodriguez;95
1084;Somos Mari Pepa;Samuel Kishi Leopo;95
876;Muppets 2: Los más buscados;James Bobin;112
487;El tercero;Rodrigo Guerrero;70
